Job Title,Company Name,Location Name,Skills,Job Type,Posted Published,Link
Data Scientist & BI Developer,Easy System -,"New Cairo, Cairo, Egypt ",Experienced : 5 - 10 Yrs of Exp | IT/Software Development | Engineering - Telecom/Technology | Python | Data Science | Information Technology (IT) | Data | Computer Science | Oracle Obiee | Microsoft Power BI | Power BI,Full Time Part Time,1 month ago,https://wuzzuf.net/jobs/p/VmhCzmW8TxNC-Data-Scientist-BI-Developer-Easy-System-Cairo-Egypt?o=1&l=sp&t=sj&a=data scientist |search-v3|hpb
Data Annotation,GAP CLOUD -,"Maadi, Cairo, Egypt ",Experienced : 2+ Yrs of Exp | Administration | data annotation | Artificial Intelligence | Analysis | Annotation | Data Annotator,Full Time Part Time,9 days ago,https://wuzzuf.net/jobs/p/woeQyRs8Tf35-Data-Annotation-GAP-CLOUD-Cairo-Egypt?o=2&l=sp&t=sj&a=data scientist |search-v3|hpb
Sr- Data Engineer,more and more -,"Cairo, Egypt ",Experienced : 4 - 10 Yrs of Exp | IT/Software Development | Engineering - Telecom/Technology | Data Engineer | Software Engineering | Data | Information Technology (IT) | Computer Science | Programming | Cloud | Engineering,Full Time ,18 days ago,https://wuzzuf.net/jobs/p/TI1be8p1uc7y-Sr--Data-Engineer-more-and-more-Cairo-Egypt?o=3&l=sp&t=sj&a=data scientist |search-v3|hpb
Data & Reporting Lead,Edentech -,"Cairo, Egypt ",Manager : 8+ Yrs of Exp | IT/Software Development | Analyst/Research | Computer Science | Data Engineering | data scientist | Information Technology (IT) | Analysis | SQL | Data Analysis | Communication skills,Full Time ,2 months ago,https://wuzzuf.net/jobs/p/PYe7JUkNKO97-Data-Reporting-Lead-Edentech-Cairo-Egypt?o=4&l=sp&t=sj&a=data scientist |search-v3|hpb
Big data Expert,Perfect Presentation -,"6th of October, Giza, Egypt ",Experienced : 5 - 7 Yrs of Exp | IT/Software Development | Big Data | Information Technology (IT) | Computer Science,Full Time ,2 months ago,https://wuzzuf.net/jobs/p/7wP3PuIsn0L3-Big-data-Expert-Perfect-Presentation-Giza-Egypt?o=5&l=sp&t=sj&a=data scientist |search-v3|hpb
Full Stack Senior Java Developer (Remotely for USA),Mobile Wave 3 -,"Nasr City, Cairo, Egypt ",Experienced : 4 - 7 Yrs of Exp | IT/Software Development | Engineering - Telecom/Technology | Full Stack | Computer Science | Java | JavaScript | React | CSS | Python | jQuery,Full Time ,1 month ago,https://wuzzuf.net/jobs/p/RvxHh93gyQn7-Full-Stack-Senior-Java-Developer-Remotely-for-USA-Mobile-Wave-3-Cairo-Egypt?o=6&l=sp&t=sj&a=data scientist |search-v3|hpb
Research Software Development Engineer,TensorGraph -,"Maadi, Cairo, Egypt ",Experienced : 2 - 4 Yrs of Exp | IT/Software Development | Analyst/Research | Engineering - Telecom/Technology | Development | Computer Science | Software Development | Software | NodeJS | Software Engineering | Information Technology (IT),Full Time ,24 days ago,https://wuzzuf.net/jobs/p/bcodR5Fpewkv-Research-Software-Development-Engineer-TensorGraph-Cairo-Egypt?o=7&l=sp&t=sj&a=data scientist |search-v3|hpb
Marketing Executive,Hamza Group -,"Dokki, Giza, Egypt ",Experienced : 3+ Yrs of Exp | Marketing/PR/Advertising | Media/Journalism/Publishing | B2B | B2C | Market Research | Marketing | Microsoft | sales skills | Media | Communication Skills,Full Time ,2 months ago,https://wuzzuf.net/jobs/p/U9tpd3qGvzuA-Marketing-Executive-Hamza-Group-Giza-Egypt?o=8&l=sp&t=sj&a=data scientist |search-v3|hpb
Enterprise Architect Lead,Meem Development -,"Glim, Alexandria, Egypt ",Manager : 8 - 12 Yrs of Exp | IT/Software Development | Engineering - Telecom/Technology | business | Information Technology (IT) | Software Engineering | Communication skills | Computer Science | Software Development | Software | computer,Full Time ,1 month ago,https://wuzzuf.net/jobs/p/i1pqsnp87727-Enterprise-Architect-Lead-Meem-Development-Alexandria-Egypt?o=9&l=sp&t=sj&a=data scientist |search-v3|hpb
Integration Developer,Perfect Presentation -,"6th of October, Giza, Egypt ",Experienced : 5 - 7 Yrs of Exp | IT/Software Development | Software Development | Integration | Information Technology (IT) | Development,Full Time ,2 months ago,https://wuzzuf.net/jobs/p/ZlU5FLyPcSxU-Integration-Developer-Perfect-Presentation-Giza-Egypt?o=10&l=sp&t=sj&a=data scientist |search-v3|hpb
Senior Computer Vision Engineer,Atomica -,"Cairo, Egypt ",Experienced : 3 - 10 Yrs of Exp | IT/Software Development | Engineering - Telecom/Technology | Computer Engineering | Mathematics | Software Development | Software Engineering | C++ | Git | Research | computer,Full Time Work From Home,2 months ago,https://wuzzuf.net/jobs/p/k9aorzMuNSrg-Senior-Computer-Vision-Engineer-Atomica-Cairo-Egypt?o=11&l=sp&t=sj&a=data scientist |search-v3|hpb
